Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Goddard, Richard	0	0	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Avilez, Derek	0	0	80	N	N	N	0	Allen, Christopher	0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Demmin, Dwayne	0	0	67	N	N	N	0	Coggins, Jacob	0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Galeano, Hugo	0	0	77	N	N	N	0	Sorzano, Jeremy	0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	O'Brien, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Calderson, Carlos	0	0	72	N	N	N	0	Pinch, Mark	0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Gajardo-San Martin, Leonardo	0	0	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Guastaferro, Andrew	0	0	75	N	N	N	0	McDermott, Andrew	0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Watkins, Nathan	0	0	90	Y	N	N	69		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Gomez, Jose	0	0	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Swinehart, Dustin	0	0	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Coggins, Jacob	0	67	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	Pinch, Mark	0	72	90	N	N	N	0		0	0	0	
LGE	4/19/2002	Charlotte Eagles	Indiana Blast	Charlotte Eagles	McDermott, Andrew	0	75	90	N	N	N	0		0	0	0	
