Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/6/2002	San Diego Gauchos	California Gold	1	2	1	League Game	LGE			As Scored	0	0	
4/12/2002	California Gold	Northern Nevada Aces	5	2	1	League Game	LGE			As Scored	0	0	
4/19/2002	California Gold	Utah Blitzz	0	3	1	League Game	LGE			As Scored	0	0	
4/19/2002	Charlotte Eagles	Indiana Blast	6	1	1,036	League Game	LGE			As Scored	0	0	
4/19/2002	Richmond Kickers	Hampton Roads Mariners	2	1	2,742	League Game	LGE			As Scored	0	0	
4/20/2002	Atlanta Silverbacks	Indiana Blast	5	2	1,386	League Game	LGE			As Scored	0	0	
4/20/2002	California Gold	Utah Blitzz	2	0	1	League Game	LGE			As Scored	0	0	
4/20/2002	Chico Rooks	Los Angeles Heroes	0	0	0	League Game	LGE			As Scored	0	0	
4/20/2002	El Paso Patriots	Calgary Storm	4	0	1,000	League Game	LGE			As Scored	0	0	
4/20/2002	Hampton Roads Mariners	Richmond Kickers	1	2	1,594	League Game	LGE			As Scored	0	0	
4/20/2002	New York Freedoms	Connecticut Wolves	2	1	1	League Game	LGE			As Scored	0	0	
4/20/2002	Pittsburgh Riverhounds	Toronto Lynx	2	1	2,068	League Game	LGE			As Scored	0	0	
4/20/2002	Reading Rage	South Jersey Barons	2	3	1	League Game	LGE			As Scored	0	0	
4/20/2002	San Diego Gauchos	Northern Nevada Aces	3	0	1	League Game	LGE			As Scored	0	0	
4/20/2002	Westchester Flames	Western Mass Pioneers	1	2	1	League Game	LGE			As Scored	0	0	
4/20/2002	Wilmington Hammerheads	Carolina Dynamo	1	2	1	League Game	LGE			As Scored	0	0	
4/26/2002	Charlotte Eagles	Atlanta Silverbacks	1	3	1,423	League Game	LGE			As Scored	0	0	
4/26/2002	Long Island Rough Riders	New York Freedoms	3	4	1	League Game	LGE			As Scored	0	0	
4/26/2002	Los Angeles Heroes	Arizona Sahuaros	0	2	1	League Game	LGE			As Scored	0	0	
4/26/2002	Northern Nevada Aces	California Gold	2	1	1	League Game	LGE			As Scored	0	0	
4/26/2002	Richmond Kickers	Toronto Lynx	1	1	2,434	League Game	LGE			As Scored	0	0	
4/26/2002	Western Mass Pioneers	New Hampshire Phantoms	1	1	1	League Game	LGE			As Scored	0	0	
4/27/2002	Atlanta Silverbacks	Charlotte Eagles	1	0	1,000	League Game	LGE			As Scored	0	0	
4/27/2002	Central Coast Roadrunners	Chico Rooks	0	0	0	League Game	LGE			As Scored	0	0	
4/27/2002	Charleston Battery	Pittsburgh Riverhounds	0	0	3,791	League Game	LGE			As Scored	0	0	
4/27/2002	Connecticut Wolves	Reading Rage	2	1	1	League Game	LGE			As Scored	0	0	
4/27/2002	El Paso Patriots	Minnesota Thunder	0	0	1,872	League Game	LGE			As Scored	0	0	
4/27/2002	Greenville Lions	Carolina Dynamo	0	0	1	League Game	LGE			As Scored	0	0	
4/27/2002	Hampton Roads Mariners	Toronto Lynx	1	2	1,110	League Game	LGE			As Scored	0	0	
4/27/2002	Northern Virginia Royals	Wilmington Hammerheads	0	2	1	League Game	LGE			As Scored	0	0	
4/27/2002	San Diego Gauchos	Arizona Sahuaros	2	2	1	League Game	LGE			As Scored	0	0	
4/27/2002	South Jersey Barons	New Jersey Stallions	1	2	1	League Game	LGE			As Scored	0	0	
4/27/2002	Westchester Flames	New Hampshire Phantoms	1	3	1	League Game	LGE			As Scored	0	0	
4/30/2002	Hampton Roads Mariners	Charleston Battery	1	5	1,000	League Game	LGE			As Scored	0	0	
5/3/2002	Atlanta Silverbacks	Toronto Lynx	3	2	1,000	League Game	LGE			As Scored	0	0	
5/3/2002	Chesapeake Dragons	Greenville Lions Premier	3	0	1	League Game	LGE			As Scored	0	0	
5/3/2002	Indiana Blast	Milwaukee Rampage	2	3	1,000	League Game	LGE			As Scored	0	0	
5/3/2002	Northern Nevada Aces	Utah Blitzz	2	1	1	League Game	LGE			As Scored	0	0	
5/3/2002	Santa Barbara Sharks	Orange County Blue Star	0	0	0	League Game	LGE			As Scored	0	0	
5/3/2002	Southern California Seahorses	Los Angeles Heroes	2	0	1	League Game	LGE			As Scored	0	0	
