Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
1/17/2011	Jamaica	U.S. U-17 MNT	0	0	100	Friendly	FDLY			As Scored	0	0	
1/22/2011	U.S. USNT	Chile	1	1	18,580	Friendly	FDLY			As Scored	0	0	
1/30/2011	Jamaica	U.S. U-17 MNT	1	2	100	Friendly	FDLY			As Scored	0	0	
2/5/2011	U.S. U-17 MNT	Honduas	6	0	100	Friendly	FDLY			As Scored	0	0	
2/14/2011	Cuba	U.S. U-17 MNT	1	3	100	CONCACAF U17 Championship	CU17			As Scored	0	0	
2/18/2011	Panama	U.S. U-17 MNT	0	1	100	CONCACAF U17 Championship	CU17			As Scored	0	0	
2/22/2011	Columbus Crew	Real Salt Lake	0	0	4,500	CONCACAF Champions League	CCL			As Scored	0	0	
2/22/2011	El Salvador	U.S. U-17 MNT	2	3	100	CONCACAF U17 Championship	CU17			As Scored	0	0	
2/25/2011	Jamaica	U.S. U-17 MNT	0	2	100	CONCACAF U17 Championship	CU17			As Scored	0	0	
2/27/2011	Canada	U.S. U-17 MNT	0	3	2,000	CONCACAF U17 Championship	CU17			As Scored	0	0	
3/3/2011	Real Salt Lake	Columbus Crew	4	1	15,405	CONCACAF Champions League	CCL			As Scored	0	0	
3/15/2011	Real Salt Lake	Deportivo Saprissa -Costa Rica	2	0	16,888	CONCACAF Champions League	CCL			As Scored	0	0	
3/15/2011	Seattle Sounders	Los Angeles Galaxy	0	1	36,443	League Game	LGE		Prus, Alex	As Scored	0	0	
3/18/2011	River Plate Puerto Rico	Bodden Town FC - Cayman Island	2	0	150	CFU Club Championship	CFU			As Scored	0	0	
3/19/2011	CD Chivas USA	Sporting Kansas City	2	3	18,122	League Game	LGE			As Scored	0	0	
3/19/2011	Colorado Rapids	Portland Timbers	3	1	17,139	League Game	LGE			As Scored	0	0	
3/19/2011	D.C. United	Columbus Crew	3	1	18,132	League Game	LGE			As Scored	0	0	
