Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
1/22/2010	USNT	Chile	1	1	18,580	Friendly	FDLY		Gutierrez, Francisco Chacon	As Scored	0	0	
1/27/2010	Jamaica	U.S. U-17	0	0	100	Friendly	FDLY			As Scored	0	0	
2/24/2010	USNT	El Salvador	2	1	21,737	Friendly	FDLY		Petrescu, Silviu	As Scored	0	0	
2/24/2010	U.S. U-17	Mexico	4	1	100	Friendly	FDLY		Penso, Chris	As Scored	0	0	
3/3/2010	Netherlands	USNT	2	1	46,630	Friendly	FDLY		Cakir, Cuneyt	As Scored	0	0	
3/9/2010	Columbus Crew	Toluca - Mexico	2	2	4,400	CONCACAF Champions League	CCL		Campbell, Courtney	As Scored	0	0	
3/17/2010	Toluca - Mexico	Columbus Crew	3	2	6,946	CONCACAF Champions League	CCL			As Scored	0	0	
3/25/2010	Seattle Sounders	Philadephia Union	2	0	36,241	League Game	LGE		Salazar, Ricardo	As Scored	0	0	
3/26/2010	CD Chivas USA	Colorado Rapids	0	1	18,653	League Game	LGE		Kennedy, Michael	As Scored	0	0	
3/27/2010	Columbus Crew	Toronto FC	2	0	13,536	League Game	LGE			As Scored	0	0	
3/27/2010	FC Dallas 96	Houston Dynamo	1	1	8,016	League Game	LGE			As Scored	0	0	
3/27/2010	Kansas City Wizards	D.C. United	4	0	10,385	League Game	LGE		Stott, Kevin	As Scored	0	0	
3/27/2010	Los Angeles Galaxy	New England Revolution	1	0	21,376	League Game	LGE			As Scored	0	0	
3/27/2010	New York Red Bulls	Chicago Fire	1	0	24,572	League Game	LGE			As Scored	0	0	
3/27/2010	San Jose Earthquakes	Real Salt Lake	0	3	10,589	League Game	LGE			As Scored	0	0	
3/28/2010	U.S. U-20	Mexico	0	1	100	Dallas Cup	DC			As Scored	0	0	
3/29/2010	U.S. U-20	Vancouver Whitecaps	1	0	0	Dallas Cup	DC			As Scored	0	0	
3/31/2010	U.S. U-20	Eintracht Frankfurt - Germany	0	1	100	Dallas Cup	DC			As Scored	0	0	
4/1/2010	Houston Dynamo	Real Salt Lake	2	1	18,197	League Game	LGE			As Scored	0	0	
4/1/2010	Los Angeles Galaxy	CD Chivas USA	2	0	19,805	League Game	LGE			As Scored	0	0	
4/3/2010	Colorado Rapids	Chicago Fire	2	2	11,641	League Game	LGE			As Scored	0	0	
4/3/2010	D.C. United	New England Revolution	0	2	20,664	League Game	LGE			As Scored	0	0	
4/3/2010	Seattle Sounders	New York Red Bulls	0	1	36,066	League Game	LGE			As Scored	0	0	
4/10/2010	Carolina RailHawks	AC St. Louis	2	0	2,013	League Game	LGE			As Scored	0	0	
