Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Chronopoulos, Teddy	Charleston Battery	Charleston Battery	Minnesota Thunder	9/20/2003	25		PLO			
Klein, Steve	Charleston Battery	Charleston Battery	Minnesota Thunder	9/20/2003	40		PLO			
Conway, Paul	Charleston Battery	Charleston Battery	Minnesota Thunder	9/20/2003	10		PLO			
Henderson, Josh	Charleston Battery	Charleston Battery	Rochester Rhinos	9/14/2003	35		PLO			
Torres, Johnny	Minnesota Thunder	Minnesota Thunder	Seattle Sounders	9/14/2003	60		PLO	Menyongar, John		
Shak, Steve	Minnesota Thunder	Seattle Sounders	Minnesota Thunder	9/12/2003	60		PLO	Anderson, Kevin		
Howes, Gregory	Milwaukee Wave United	Milwaukee Wave United	Minnesota Thunder	9/5/2003	35		PLO			
Mladenov, Stoian	Rochester Rhinos	Rochester Rhinos	Montreal Impact	9/5/2003	35		PLO			
Miller, Doug	Rochester Rhinos	Rochester Rhinos	Montreal Impact	9/5/2003	50		PLO	Mladenov, Stoian		
Gomes-Santana, Jose(ZeRoberto)	Montreal Impact	Rochester Rhinos	Montreal Impact	9/5/2003	60		PLO	Nash, Martin		
Lassiter, Roy	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	9/5/2003	34		PLO	Vargas-Aguilera, Roland (Pato)		
Asad, Shaker	Atlanta Silverbacks	Atlanta Silverbacks	Milwaukee Wave United	8/22/2003	1		LGE	Moore, David		
Aldrich, Jeremy	Milwaukee Wave United	Atlanta Silverbacks	Milwaukee Wave United	8/22/2003	7		LGE	Schmidt, Matt		
Walls, Nick	Milwaukee Wave United	Atlanta Silverbacks	Milwaukee Wave United	8/22/2003	6		LGE			
Dusosky, Todd	Milwaukee Wave United	Atlanta Silverbacks	Milwaukee Wave United	8/22/2003	8		LGE	Howes, Gregory		
Iotov, Velko	Atlanta Silverbacks	Atlanta Silverbacks	Minnesota Thunder	8/31/2003	50		LGE			
Morehead, Marshall	Minnesota Thunder	Atlanta Silverbacks	Minnesota Thunder	8/31/2003	50		LGE	Torres, Johnny		
Jackson, Kevin	Charleston Battery	Richmond Kickers	Charleston Battery	4/19/2003	70		LGE	Trout, Ryan		
Henderson, Josh	Charleston Battery	Richmond Kickers	Charleston Battery	4/19/2003	30		LGE			
Henderson, Josh	Charleston Battery	Charleston Battery	Virginia Beach Mariners	5/3/2003	87		LGE	Conway, Paul		
Henderson, Josh	Charleston Battery	Charleston Battery	Virginia Beach Mariners	5/3/2003	42		LGE	Klein, Steve		
Bagley, Christopher	Charleston Battery	Charleston Battery	Virginia Beach Mariners	5/3/2003	77		LGE			
Knott, Kevin	Virginia Beach Mariners	Charleston Battery	Virginia Beach Mariners	5/3/2003	76		LGE	Washington, Dante		
Chronopoulos, Teddy	Charleston Battery	Charlotte Eagles	Charleston Battery	5/9/2003	29		LGE	Jackson, Kevin		
Conway, Paul	Charleston Battery	Charleston Battery	Charlotte Eagles	5/10/2003	13		LGE	Goos, Chris		
Goos, Chris	Charleston Battery	Charleston Battery	Charlotte Eagles	5/10/2003	3		LGE	Conway, Paul		
McDermott, Andrew	Charlotte Eagles	Charleston Battery	Charlotte Eagles	5/10/2003	88		LGE	Watkins, Nathan		
Gomez, Jose	Charlotte Eagles	Charleston Battery	Charlotte Eagles	5/10/2003	75		LGE			
Vargas-Aguilera, Roland (Pato)	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	5/17/2003	85		LGE	Amani-Dove, Hamisi		
Vargas-Aguilera, Roland (Pato)	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	5/17/2003	84		LGE	Lassiter, Roy		
Hutchison, Russell	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	5/17/2003	86		LGE	Vargas-Aguilera, Roland (Pato)		
Washington, Dante	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	5/17/2003	82		LGE			
Washington, Dante	Virginia Beach Mariners	Virginia Beach Mariners	Charleston Battery	5/17/2003	83		LGE			
Goos, Chris	Charleston Battery	Virginia Beach Mariners	Charleston Battery	5/17/2003	77		LGE			
Klein, Steve	Charleston Battery	Virginia Beach Mariners	Charleston Battery	5/17/2003	88		LGE	Moore, Barry		
Trout, Ryan	Charleston Battery	Charleston Battery	Atlanta Silverbacks	5/24/2003	90		LGE			
Chronopoulos, Teddy	Charleston Battery	Charleston Battery	Charlotte Eagles	6/13/2003	8		LGE	Goos, Chris		
McDermott, Andrew	Charlotte Eagles	Charleston Battery	Charlotte Eagles	6/13/2003	16		LGE	Rife, Josh		
Paul, Lee	Charlotte Eagles	Charleston Battery	Charlotte Eagles	6/13/2003	15		LGE			
