Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Jones, Jordan	Southern California Seahorse	Orange County Blue Star	Southern California Seahorse	4/27/2001	27		LGE	Meek, Benjamin		
Williams, Bert	Connecticut Wolves	Connecticut Wolves	Minnesota Thunder	4/27/2001	110		LGE			
Khalil, Joseph	Miami Strike Force	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE			
Asorey, Matis	Miami Strike Force	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE			
Asorey, Matis	Miami Strike Force	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE	Wilson, Adam		
Asorey, Matis	Miami Strike Force	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE	Suarez, Alfredo		
Niemann, Justin	Bradenton Academics	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE	Figuerola, Alvaro		
Figuerola, Alvaro	Bradenton Academics	Miami Strike Force	Bradenton Academics	5/10/2001	0		LGE			
Serna, Jose	Yakima Reds	Yakima Reds	Cascade Surge	5/11/2001	0		LGE	Bertram, Scott		
Valencia, Jose	Yakima Reds	Yakima Reds	Cascade Surge	5/11/2001	0		LGE	Pardini, Michael		
Whittaker, Tom	Cascade Surge	Yakima Reds	Cascade Surge	5/11/2001	0		LGE			
Gentile, Gabriel	West Dallas Kings	West Dallas Kings	Wichita Jets	5/11/2001	0		LGE			
Pampillonia, Anthony	West Dallas Kings	West Dallas Kings	Wichita Jets	5/11/2001	0		LGE	Dapaah, Daniel		
Barton, Casey	Wichita Jets	West Dallas Kings	Wichita Jets	5/11/2001	0		LGE	Chacko, David		
Concha, Guillermo	Denver Cougars	Denver Cougars	Boulder Nova	5/11/2001	0		LGE			
Peattie, Geoff	Twin Cities Phoenix	Chicago Eagles Select	Twin Cities Phoenix	5/11/2001	0		LGE	Schulte, Casey		
Reineke, Dustin	Central Florida Kraze	Central Florida Kraze	Cocoa Expos	5/11/2001	0		LGE	Levy, Rodney		
Cadena, Carlos	Cocoa Expos	Central Florida Kraze	Cocoa Expos	5/11/2001	0		LGE	Chan, Robin		
Blount, Ivan	Cocoa Expos	Central Florida Kraze	Cocoa Expos	5/11/2001	0		LGE			
Bojovic, Radoslav	Westchester Flames	Jersey Falcons	Westchester Flames	5/11/2001	0		LGE	Grando, Ive		
Bojovic, Radoslav	Westchester Flames	Jersey Falcons	Westchester Flames	5/11/2001	0		LGE	Sellas, Nikolaos		
Bojovic, Radoslav	Westchester Flames	Jersey Falcons	Westchester Flames	5/11/2001	0		LGE	Nava, Fredy		
Navarette, Hector	Westchester Flames	Jersey Falcons	Westchester Flames	5/11/2001	0		LGE	Bojovic, Radoslav		
Rivas, Ruben	San Gabriel Valley Highlanders	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE	Rodriguez, Felipe		
Risch, Danny	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE	Miranda, Jose de Jesus		
Lopez, Derek	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE	Katz, Ryan		
Moreton, Crosby	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE			
Moseley, Nicholas	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE			
McGregor, Dana	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE			
McGregor, Dana	Central Coast Roadrunners	San Gabriel Valley Highlanders	Central Coast Roadrunners	5/11/2001	0		LGE	Bessemer, Chris		
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Nashville Metros	5/11/2001	57		LGE			
Swinehart, Dustin	Charlotte Eagles	Charlotte Eagles	Nashville Metros	5/11/2001	14		LGE			
Hinkey, Brian	Nashville Metros	Charlotte Eagles	Nashville Metros	5/11/2001	27		LGE			
Houser, Jeff	Nashville Metros	Charlotte Eagles	Nashville Metros	5/11/2001	73		LGE			
Houser, Jeff	Nashville Metros	Charlotte Eagles	Nashville Metros	5/11/2001	49		LGE			
