Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Indiana Blast	4/20/2002	69		LGE	Nusum, John Barry		
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Indiana Blast	4/20/2002	90		LGE	Broder, Jordy		
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Indiana Blast	4/20/2002	22		LGE	Hetherington, Nate		
Moleka, Ignace (Iggy)	Atlanta Silverbacks	Atlanta Silverbacks	Indiana Blast	4/20/2002	85		LGE	Broder, Jordy		
Leib, Ryan	Atlanta Silverbacks	Atlanta Silverbacks	Indiana Blast	4/20/2002	35		LGE			
Costa, Rodrigo	Indiana Blast	Atlanta Silverbacks	Indiana Blast	4/20/2002	78	Penalty	LGE			
DiGuardi, Gino	Indiana Blast	Atlanta Silverbacks	Indiana Blast	4/20/2002	17		LGE	Ihekoronye, Ezenwa		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Atlanta Silverbacks	4/26/2002	76		LGE	Pinch, Mark		
Piesner, Brian	Atlanta Silverbacks	Charlotte Eagles	Atlanta Silverbacks	4/26/2002	24		LGE	Leib, Ryan		
Broder, Jordy	Atlanta Silverbacks	Charlotte Eagles	Atlanta Silverbacks	4/26/2002	59		LGE	Piesner, Brian		
Jean-Baptiste, Gilbert	Atlanta Silverbacks	Charlotte Eagles	Atlanta Silverbacks	4/26/2002	74		LGE	Piesner, Brian		
Leib, Ryan	Atlanta Silverbacks	Atlanta Silverbacks	Charlotte Eagles	4/27/2002	49		LGE	Broder, Jordy		
Piesner, Brian	Atlanta Silverbacks	Atlanta Silverbacks	Toronto Lynx	5/3/2002	78		LGE			
Jean-Baptiste, Gilbert	Atlanta Silverbacks	Atlanta Silverbacks	Toronto Lynx	5/3/2002	95		LGE	Piesner, Brian		
Iotov, Velko	Atlanta Silverbacks	Atlanta Silverbacks	Toronto Lynx	5/3/2002	37		LGE	Akin, Jon		
Budalic, Niki	Toronto Lynx	Atlanta Silverbacks	Toronto Lynx	5/3/2002	21		LGE	Aristodemo, Robbie		
Budalic, Niki	Toronto Lynx	Atlanta Silverbacks	Toronto Lynx	5/3/2002	74		LGE			
Parra, Carlos	Atlanta Silverbacks	Atlanta Silverbacks	Montreal Impact	5/11/2002	103		LGE			
Iotov, Velko	Atlanta Silverbacks	Atlanta Silverbacks	Montreal Impact	5/11/2002	49		LGE	Kraemer, Steve		
Sebrango, Eduardo	Montreal Impact	Atlanta Silverbacks	Montreal Impact	5/11/2002	45		LGE	Oliviero, Giuliano		
Hetherington, Nate	Atlanta Silverbacks	Atlanta Silverbacks	Richmond Kickers	5/15/2002	90		LGE	Kraemer, Steve		
Stockton, Khary	Richmond Kickers	Atlanta Silverbacks	Richmond Kickers	5/15/2002	75		LGE	Hayes, David		
Hayes, David	Richmond Kickers	Atlanta Silverbacks	Richmond Kickers	5/15/2002	4		LGE			
